player_id,player_name,player_first_name,player_last_name,player_team,player_team_id,previous_games,previous_average,previous_total,locked,active,played_status,supercoach_price,points,games,minutes_played,total_rebouds,total_assists,total_steals,total_blocks,total_turnovers,supercoach_position_1,injury_suspension_status,injury_suspension_status_text,supercoach_position_2
86,Alex McNaught,Alex,McNaught,New Zealand Breakers,7,6,1,6,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,NotPlayingNextRound,Not selected to play in the upcoming round,NA
87,Sam Mennenga,Sam,Mennenga,New Zealand Breakers,7,29,17.93,520,FALSE,TRUE,Yet to play,289800,0,0,0,86,38,27,15,-28,FWD,PlayingNextRound,Selected in starting line up,CTR
88,Reuben Te Rangi,Reuben,Te Rangi,New Zealand Breakers,7,29,10.03,291,FALSE,TRUE,Yet to play,65200,0,0,0,31,16,6,0,-30,GRD,PlayingNextRound,Selected in starting line up,FWD
89,Sunday Dech,Sunday,Dech,Perth Wildcats,5,22,12.36,272,FALSE,TRUE,Yet to play,81300,0,0,0,9,8,0,3,-2,GRD,NA,NA,NA
90,Kristian Doolittle,Kristian,Doolittle,Perth Wildcats,5,24,28.75,690,FALSE,TRUE,Yet to play,312100,0,0,0,84,78,27,6,-56,FWD,NA,NA,NA
91,Thomas Gerovich,Thomas,Gerovich,Perth Wildcats,5,2,0.5,1,FALSE,TRUE,Yet to play,58500,0,0,0,0,2,0,0,0,FWD,NA,NA,NA
92,Ben Henshall,Ben,Henshall,Perth Wildcats,5,28,18.89,529,FALSE,TRUE,Yet to play,150800,0,0,0,29,30,18,9,-30,GRD,NA,NA,FWD
93,Cameron Huefner,Cameron,Huefner,Perth Wildcats,5,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,1,0,0,0,0,FWD,NA,NA,NA
94,Noa Kouakou-Heugue,Noa,Kouakou-Heugue,Perth Wildcats,5,0,0,0,FALSE,TRUE,Yet to play,78300,0,0,0,9,0,0,0,0,GRD,Injury,Personal. Expected recovery time is to be confirmed.,NA
95,Jo Lual-Acuil Jr,Jo,Lual-Acuil Jr,Perth Wildcats,5,0,0,0,FALSE,TRUE,Yet to play,346600,0,0,0,73,34,27,66,-28,CTR,NA,NA,NA
96,Lat Mayen,Lat,Mayen,Perth Wildcats,5,28,12.89,361,FALSE,TRUE,Yet to play,67300,0,0,0,21,8,6,0,-12,FWD,NA,NA,NA
97,David Okwera,David,Okwera,Perth Wildcats,5,20,6,120,FALSE,TRUE,Yet to play,125300,0,0,0,34,16,18,3,-14,FWD,NA,NA,NA
98,Elijah Pepper,Elijah,Pepper,Perth Wildcats,5,29,13.21,383,FALSE,TRUE,Yet to play,162900,0,0,0,21,24,27,3,-10,GRD,NA,NA,NA
99,Jaron Rillie,Jaron,Rillie,Perth Wildcats,5,0,0,0,FALSE,TRUE,Yet to play,181800,0,0,0,33,44,27,9,-22,GRD,NA,NA,NA
100,Dontae Russo-Nance,Dontae,Russo-Nance,Perth Wildcats,5,9,2,18,FALSE,TRUE,Yet to play,87300,0,0,0,23,34,18,3,-22,GRD,NA,NA,NA
101,Jesse Wagstaff,Jesse,Wagstaff,Perth Wildcats,5,27,9.11,246,FALSE,TRUE,Yet to play,77800,0,0,0,18,14,21,0,-4,FWD,NA,NA,NA
102,Dylan Windler,Dylan,Windler,Perth Wildcats,5,24,27.79,667,FALSE,TRUE,Yet to play,261500,0,0,0,64,34,15,12,-26,GRD,NA,NA,FWD
103,Akech Aliir,Akech,Aliir,South East Melbourne Phoenix,2,17,6.24,106,FALSE,TRUE,Yet to play,113600,0,0,0,19,20,18,18,-10,FWD,NA,NA,NA
104,Ellis Biggar,Ellis,Biggar,South East Melbourne Phoenix,2,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,1,0,0,0,0,FWD,NA,NA,NA
105,Vrenz Bleijenbergh,Vrenz,Bleijenbergh,South East Melbourne Phoenix,2,0,0,0,FALSE,TRUE,Yet to play,277000,0,0,0,0,0,0,0,0,FWD,NA,NA,NA
106,John Brown III,John,Brown III,South East Melbourne Phoenix,2,0,0,0,FALSE,TRUE,Yet to play,257600,0,0,0,55,36,69,18,-12,FWD,NA,NA,NA
